food_name,calories_kcal,protein_g,carbs_g,fat_g,sodium_mg,sugar_g,calorie_density,protein_ratio,carbs_ratio,fats_ratio,sugar_ratio
"EGG,YOLK,RAW,FROZEN",303.0,15.5,1.15,25.6,67.0,0.0,3.03,5.1155115342722395,0.379537952542779,8.448844856604474,0.0
"EGG,YOLK,RAW,FRZ,SUGARED",307.0,13.8,10.8,22.75,67.0,0.0,3.07,4.495113991872593,3.517915297987247,7.410423428630543,0.0
"EGG,WHL,CKD,FRIED",196.0,13.61,0.83,14.84,207.0,0.0,1.96,6.943877515592462,0.4234693855945439,7.5714285327988335,0.0
"EGG,WHL,CKD,HARD-BOILED",155.0,12.58,1.12,10.61,124.0,0.0,1.55,8.116128979895942,0.7225806404994799,6.8451612461602505,0.0
"EGG,WHOLE,COOKED,OMELET",154.0,10.57,0.64,11.66,155.0,0.0,1.54,6.863636319067297,0.4155844128858155,7.571428522263451,0.0
"EGG,WHL,CKD,POACHED",143.0,12.51,0.71,9.47,297.0,0.0,1.43,8.748251687075163,0.4965034930314441,6.62237757606729,0.0
"EGG,WHL,CKD,SCRMBLD",149.0,9.99,1.61,10.98,145.0,0.0,1.49,6.704697941579209,1.0805369054997525,7.369127467321293,0.0
"EGG,WHOLE,DRIED",594.0,47.35,4.95,40.95,523.0,0.0,5.94,7.971380457960639,0.8333333319304153,6.893939382333436,0.0
"EGG,WHL,DRIED,STABILIZED,GLUCOSE RED",615.0,48.17,2.38,43.95,548.0,0.0,6.15,7.832520312467447,0.3869918692894441,7.146341451794568,0.0
"EGG,WHITE,DRIED,FLAKES,GLUCOSE RED",351.0,76.92,4.17,0.04,1156.0,0.0,3.51,21.914529852095356,1.1880341846494753,0.011396011363544128,0.0
"EGG,WHITE,DRIED,PDR,GLUCOSE RED",376.0,82.4,4.47,0.04,1238.0,0.0,3.76,21.914893558736985,1.1888297840722613,0.01063829784404708,0.0
"EGG,YOLK,DRIED",666.0,34.25,3.6,55.8,135.0,0.0,6.66,5.142642634920957,0.5405405397289181,8.37837836579823,0.0
"EGG,DUCK,WHOLE,FRESH,RAW",185.0,12.81,1.45,13.77,146.0,0.0,1.85,6.924324286895544,0.7837837795471148,7.443243203009496,0.0
"EGG,GOOSE,WHOLE,FRESH,RAW",185.0,13.87,1.35,13.27,138.0,0.0,1.85,7.497297256771366,0.7297297257852448,7.172972934200146,0.0
"EGG,QUAIL,WHOLE,FRESH,RAW",158.0,13.05,0.41,11.09,141.0,0.0,1.58,8.259493618610799,0.2594936692437109,7.018987297348183,0.0
"EGG,TURKEY,WHL,FRSH,RAW",171.0,13.68,1.15,11.88,151.0,0.0,1.71,7.999999953216374,0.6725146159502069,6.947368380424747,0.0
"EGG SUBSTITUTE,POWDER",444.0,55.5,21.8,13.0,800.0,0.0,4.44,12.499999971846847,4.909909898851555,2.9279279213334957,0.0
"BUTTER,WITHOUT SALT",717.0,0.85,0.06,81.11,11.0,0.0,7.17,0.11854951168961017,0.008368200825148954,11.31241281546386,0.0
"CHEESE,PARMESAN,SHREDDED",415.0,37.86,3.41,27.34,1696.0,0.0,4.15,9.122891544282188,0.8216867450079837,6.5879517913543335,0.0
"MILK,NONFAT,FLUID,WO/ ADDED VIT A & VIT D (FAT FREE OR SKIM)",34.0,3.37,4.96,0.08,42.0,0.0,0.34,9.91176441435987,14.588234865051916,0.23529411072664383,0.0
"MILK,RED FAT,FLUID,2% MILKFAT,W/ NONFAT MILK SOL,WO/ VIT A",56.0,3.95,5.49,1.98,59.0,0.0,0.56,7.053571302614799,9.803571253507656,3.535714222576532,0.0
"MILK,CND,EVAP,W/ VIT A",134.0,6.81,10.04,7.56,106.0,0.0,1.34,5.082089514312765,7.492537257518378,5.641791002673202,0.0
"MILK,DRY,NONFAT,REG,W/ ADDED VIT A & VITAMIN D",362.0,36.16,51.98,0.77,535.0,0.0,3.62,9.988950248649306,14.35911598243338,0.2127071817328531,0.0
"MILK,DRY,NONFAT,INST,WO/ ADDED VIT A & VITAMIN D",358.0,35.1,52.19,0.72,549.0,0.0,3.58,9.804469246356232,14.57821224978153,0.20111731787397397,0.0
"CHEESE,GOAT,HARD TYPE",452.0,30.52,2.17,35.59,346.0,0.0,4.52,6.752212374442008,0.48008849451307856,7.873893787889616,0.0
"CHEESE,GOAT,SEMISOFT TYPE",364.0,21.58,2.54,29.84,515.0,0.0,3.64,5.928571412284144,0.6978021958851588,8.197802175280763,0.0
"CHEESE,GOAT,SOFT TYPE",268.0,18.52,0.89,21.08,368.0,0.0,2.68,6.910447735408777,0.33208955099966586,7.865671612441523,0.0
"EGG,YOLK,RAW,FRZ,SALTED",274.0,14.0,1.6,23.0,3780.0,0.0,2.74,5.1094890324471205,0.5839416037082424,8.394160553305984,0.0
"CHEESE SUB,MOZZARELLA",248.0,11.47,23.67,12.22,685.0,0.0,2.48,4.624999981350807,9.544354800224376,4.927419334970084,0.0
CHEESE FONDUE,229.0,14.23,3.77,13.47,132.0,0.0,2.29,6.213973771991381,1.6462882024179555,5.882096044182987,0.0
"CHEESE SAU,PREP FROM RECIPE",197.0,10.33,5.48,14.92,493.0,0.0,1.97,5.243654795717488,2.7817258742044375,7.573604022469015,0.0
"CHEESE,MEXICAN,QUESO ANEJO",373.0,21.44,4.63,29.98,1131.0,0.0,3.73,5.747989260729252,1.2412868599429308,8.037533490515997,0.0
"CHEESE,MEXICAN,QUESO ASADERO",356.0,22.6,2.87,28.26,655.0,0.0,3.56,6.348314588909229,0.8061797730163489,7.938202224892691,0.0
"CHEESE,MEXICAN,QUESO CHIHUAHUA",374.0,21.56,5.56,29.68,617.0,0.0,3.74,5.7647058669392885,1.4866310120678314,7.935828855786554,0.0
"CHEESE,LOFAT,CHEDDAR OR COLBY",173.0,24.35,1.91,7.0,612.0,0.0,1.73,14.075144427311304,1.1040462363927963,4.046242751177788,0.0
"CHEESE,LOW-SODIUM,CHEDDAR OR COLBY",398.0,24.35,1.91,32.62,21.0,0.0,3.98,6.11809043688922,0.47989949628165957,8.195979878904573,0.0
"EGG,WHOLE,RAW,FROZEN",148.0,11.95,1.05,10.2,133.0,0.0,1.48,8.074324269768079,0.7094594546658145,6.891891845325055,0.0
